	Data	Graph	full	multi	paired1	paired2	Number of maximum recursion depth	Number of maximum Transcripts/Gene	opt	Norm	Sparsity Constraint	Lambda	Mu	flowOptimization	CostFunctionIndex	maxAdditionalEdgeCount	Mode of Backtrack	Name of gtfFile	Name of csv-Resultfile	Name of jsonFile	Time	Number of Transcripts without Optimization	Number of Transcripts with Optimization	Number of genes with 0 Transcripts with Optimization	Average number of transcripts/gene without Optimization	Standard deviation of transcripts/gene without Optimization	Average number of transcripts/gene with Optimization	Standard deviation of transcripts/gene with Optimization	Average transcript size without Optimization	Standard deviation of transcriptSize without Optimization	Average transcript size with Optimization	Standard deviation of transcriptSize with Optimization	Average number of exons/Gene	Standard deviation of exons/Gene	Number of single Exon transcripts without Optimization	Number of single Exon transcripts with Optimization	Number of total Genes	Number of Genes exceeding maxTranscripts	Number of Genes exceeding maxRecursion	Number of Genes exceeding maxPairedBins	True positives	False positives	Total positives	False negatives	Total Transcripts of ReferenceGTF	Sensitivity on IntronChainLevel	Precision on IntronChainLevel	Fuzzy Sensitivity on IntronChainLevel	Fuzzy Precision on IntronChainLevel
0	human_geuvadis_simulated_5sets.graph	cleaned	1	0	0	0	276	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	human_geuvadis_simulated_5setsfull.json	40.878s	97597	0	0	4.489075939469205	34.74267255152945	0	0.0	15.2217588655389	10.658440568459278	None	None	17.85267466997838	20.5825297220564	20	0	21741	0	0	0	19219	71605	90824	97749	116968	17.8	21.2	100.0	100.0
1	human_geuvadis_simulated_5sets.graph	cleaned	0	1	0	0	276	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	human_geuvadis_simulated_5setsmulti.json	41.619s	82831	0	0	3.809898348742008	23.684418299537327	0	0.0	14.657869638178942	10.978750544197965	None	None	17.85267466997838	20.5825297220564	20	0	21741	0	0	0	18873	58345	77218	98095	116968	17.5	24.4	100.0	100.0
3	human_geuvadis_simulated_5sets.graph	cleaned	0	0	0	1	276	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	human_geuvadis_simulated_5setspaired2.json	46.667s	82831	0	0	3.809898348742008	23.684418299537327	0	0.0	14.657869638178942	10.978750544197965	None	None	17.85267466997838	20.5825297220564	20	0	21741	0	0	0	18873	58345	77218	98095	116968	17.5	24.4	100.0	100.0
4	human_leukemia_real_5sets.graph	cleaned	1	0	0	0	307	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	human_leukemia_real_5setsfull.json	33.869s	147295	0	0	17.394307982994803	229.47939046176725	0	0.0	29.35736447265691	14.630856599607249	None	None	19.50979466603729	23.290304776756518	18	0	8474	6	0	0	4713	138225	142938	222098	226811	2.4	3.3	100.0	100.0
5	human_leukemia_real_5sets.graph	cleaned	0	1	0	0	307	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	human_leukemia_real_5setsmulti.json	32.091s	98242	0	0	11.598819362455728	132.6041461667428	0	0.0	25.91236945501924	13.07449903053124	None	None	19.50979466603729	23.290304776756518	18	0	8474	4	0	0	4532	91466	95998	222279	226811	2.3	4.7	100.0	100.0
7	human_leukemia_real_5sets.graph	cleaned	0	0	0	1	307	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	human_leukemia_real_5setspaired2.json	52.487s	98242	0	0	11.598819362455728	132.6041461667428	0	0.0	25.91236945501924	13.07449903053124	None	None	19.50979466603729	23.290304776756518	18	0	8474	4	0	0	4532	91466	95998	222279	226811	2.3	4.7	100.0	100.0
8	SRR307903.graph	cleaned	1	0	0	0	989	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR307903full.json	39.527s	86268	0	0	3.651246455326533	42.12768373266665	0	0.0	37.12418277924607	58.649944167285966	None	None	14.70485420457912	20.814543061570543	48	0	23629	2	0	0	13130	67955	81085	213681	226811	6.7	16.2	100.0	100.0
9	SRR307903.graph	cleaned	0	1	0	0	989	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR307903multi.json	43.400s	79020	0	0	3.3441956917347326	37.03220363406079	0	0.0	37.598595292331055	56.92052774924707	None	None	14.70485420457912	20.814543061570543	48	0	23629	0	0	0	12886	61600	74486	213925	226811	6.5	17.3	100.0	100.0
11	SRR307903.graph	cleaned	0	0	0	1	989	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR307903paired2.json	67.432s	79020	0	0	3.3441956917347326	37.03220363406079	0	0.0	37.598595292331055	56.92052774924707	None	None	14.70485420457912	20.814543061570543	48	0	23629	0	0	0	12886	61600	74486	213925	226811	6.5	17.3	100.0	100.0
12	SRR307911.graph	cleaned	1	0	0	0	668	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR307911full.json	48.601s	167989	0	0	5.156833251473477	91.582359754662	0	0.0	25.360696236063077	22.575642854419623	None	None	11.928696399521163	16.510043564897963	108	0	32579	3	0	0	13315	144478	157793	213496	226811	6.7	8.4	100.0	100.0
13	SRR307911.graph	cleaned	0	1	0	0	668	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR307911multi.json	51.497s	140789	0	0	4.321730054946742	67.65050685474769	0	0.0	23.908188849981176	23.346914366578336	None	None	11.928696399521163	16.510043564897963	108	0	32579	2	0	0	13042	118411	131453	213769	226811	6.6	9.9	100.0	100.0
15	SRR307911.graph	cleaned	0	0	0	1	668	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR307911paired2.json	84.776s	140789	0	0	4.321730054946742	67.65050685474769	0	0.0	23.908188849981176	23.346914366578336	None	None	11.928696399521163	16.510043564897963	108	0	32579	2	0	0	13042	118411	131453	213769	226811	6.6	9.9	100.0	100.0
16	SRR315323.graph	cleaned	1	0	0	0	1857	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR315323full.json	75.051s	332644	0	0	12.470720551848242	179.3807198212793	0	0.0	34.809462969420764	24.63912111709322	None	None	13.274646305861218	22.294710349564298	78	0	26718	44	0	0	11200	305957	317157	215611	226811	5.7	3.5	100.0	100.0
17	SRR315323.graph	cleaned	0	1	0	0	1857	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR315323multi.json	167.094s	329700	0	0	12.352941176470589	183.6386365566325	0	0.0	48.6260812860176	52.003225683954014	None	None	13.274646305861218	22.294710349564298	78	0	26718	28	0	0	10999	303501	314500	215812	226811	5.6	3.5	100.0	100.0
19	SRR315323.graph	cleaned	0	0	0	1	1857	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR315323paired2.json	754.580s	329700	0	0	12.352941176470589	183.6386365566325	0	0.0	48.6260812860176	52.003225683954014	None	None	13.274646305861218	22.294710349564298	78	0	26718	28	0	0	10999	303501	314500	215812	226811	5.6	3.5	100.0	100.0
20	SRR315334.graph	cleaned	1	0	0	0	401	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR315334full.json	32.036s	84592	0	0	3.445702647657841	43.01617349072982	0	0.0	18.501371288065062	16.013847373179473	None	None	12.779397987862	16.510744782072912	93	0	24551	1	0	0	12392	67092	79484	214419	226811	6.3	15.6	100.0	100.0
21	SRR315334.graph	cleaned	0	1	0	0	401	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR315334multi.json	34.175s	82016	0	0	3.340637855891817	55.113876646508594	0	0.0	17.96506779165041	15.259968321310009	None	None	12.779397987862	16.510744782072912	93	0	24551	0	0	0	12180	64995	77175	214631	226811	6.2	15.8	100.0	100.0
